iter, id, rot_num, x, y, z, r11, r12, r13, r21, r22, r23, r31, r32, r33
71,0,3,6.4146, -0.418477, -0.148934, -0.889027, 0.0166544, 0.457553, -0.391621, -0.545389, -0.74107, 0.237202, -0.838018, 0.491387
73,0,3,6.41469, -0.415439, -0.147279, -0.889161, 0.0200506, 0.457156, -0.391438, -0.550759, -0.737185, 0.237002, -0.834424, 0.497561
77,0,3,6.41544, -0.42462, -0.158291, -0.888708, 0.0150563, 0.458226, -0.391756, -0.544146, -0.741912, 0.238171, -0.838856, 0.489485
79,0,3,6.4147, -0.417083, -0.15055, -0.888445, 0.0191223, 0.458584, -0.392891, -0.548203, -0.738316, 0.237279, -0.836127, 0.494561
80,0,3,6.41465, -0.418382, -0.148101, -0.889236, 0.01238, 0.457282, -0.391718, -0.536882, -0.747205, 0.236256, -0.843566, 0.482264
82,0,3,6.41516, -0.418368, -0.148857, -0.888409, 0.0206852, 0.458586, -0.392447, -0.552479, -0.735359, 0.238148, -0.83327, 0.498946
86,0,3,6.41457, -0.416592, -0.146294, -0.888974, 0.0236125, 0.457349, -0.391779, -0.55634, -0.732799, 0.237138, -0.830619, 0.503822
87,0,3,6.41461, -0.41689, -0.146885, -0.888863, 0.022773, 0.457607, -0.392123, -0.55441, -0.734077, 0.236984, -0.831932, 0.501724
88,0,3,6.41653, -0.420248, -0.147149, -0.888439, 0.0198612, 0.458566, -0.392312, -0.551466, -0.736191, 0.238262, -0.833961, 0.497735
90,0,3,6.41572, -0.417207, -0.148289, -0.888423, 0.0225948, 0.458469, -0.392786, -0.554273, -0.733826, 0.237536, -0.832028, 0.501304
92,0,3,6.41419, -0.416391, -0.147474, -0.888525, 0.0132343, 0.458639, -0.391252, -0.544008, -0.742278, 0.23968, -0.838976, 0.488543
93,0,3,6.41596, -0.415558, -0.147023, -0.888818, 0.0223397, 0.457716, -0.391997, -0.554415, -0.734142, 0.237364, -0.831941, 0.501531
94,0,3,6.41504, -0.425882, -0.159355, -0.888318, 0.0196605, 0.458808, -0.392013, -0.552863, -0.735302, 0.239201, -0.833041, 0.498825
96,0,3,6.41262, -0.415329, -0.148251, -0.8888, 0.0159125, 0.458019, -0.391384, -0.546317, -0.740511, 0.23844, -0.837427, 0.491794
98,0,3,6.4142, -0.416551, -0.147325, -0.889098, 0.0157165, 0.457448, -0.391268, -0.544709, -0.741756, 0.237519, -0.838478, 0.490449
101,0,3,6.41434, -0.41749, -0.14983, -0.888519, 0.00765455, 0.458777, -0.392802, -0.529469, -0.75191, 0.237152, -0.848295, 0.47345
102,0,3,6.41455, -0.416019, -0.147967, -0.888105, 0.0195106, 0.459228, -0.392137, -0.553379, -0.734847, 0.23979, -0.832701, 0.499109
103,0,3,6.41537, -0.424822, -0.158132, -0.888426, 0.0107882, 0.458894, -0.392475, -0.536295, -0.747229, 0.238041, -0.843962, 0.480692
105,0,3,6.41514, -0.420166, -0.149923, -0.888723, 0.0209869, 0.457963, -0.391998, -0.552769, -0.73538, 0.237714, -0.83307, 0.499485
106,0,3,6.41483, -0.410732, -0.142746, -0.888303, 0.0214411, 0.458757, -0.393, -0.55235, -0.73516, 0.237632, -0.833336, 0.499081
108,0,3,6.41633, -0.42072, -0.148395, -0.888452, 0.0193328, 0.458563, -0.392634, -0.549412, -0.737554, 0.237681, -0.835328, 0.495717
110,0,3,6.41464, -0.41578, -0.148714, -0.888172, 0.0201748, 0.459069, -0.392434, -0.553035, -0.734948, 0.239053, -0.832914, 0.499107
111,0,3,6.41519, -0.41913, -0.15056, -0.888769, 0.0100065, 0.458247, -0.391792, -0.535458, -0.748187, 0.237885, -0.844503, 0.479819
112,0,3,6.41407, -0.414732, -0.148437, -0.888478, 0.0203662, 0.458467, -0.392387, -0.55179, -0.735908, 0.23799, -0.833735, 0.498244
113,0,3,6.41473, -0.416603, -0.151604, -0.888627, 0.017707, 0.458289, -0.391628, -0.549333, -0.738147, 0.238683, -0.835416, 0.495087
114,0,3,6.41473, -0.417407, -0.148831, -0.888463, 0.0203053, 0.4585, -0.392329, -0.551982, -0.735795, 0.238143, -0.833609, 0.498382
117,0,3,6.41595, -0.416439, -0.147536, -0.88817, 0.0263299, 0.45876, -0.393615, -0.558749, -0.729978, 0.237112, -0.828919, 0.506628
118,0,3,6.41371, -0.417916, -0.150726, -0.888985, 0.00899718, 0.457849, -0.390909, -0.535688, -0.748484, 0.23853, -0.844368, 0.479735
119,0,3,6.41568, -0.418321, -0.148144, -0.888822, 0.0185789, 0.457877, -0.391837, -0.548907, -0.738353, 0.237614, -0.835677, 0.49516
123,0,3,6.41464, -0.425553, -0.159021, -0.888393, 0.025592, 0.458371, -0.392393, -0.560598, -0.729218, 0.238299, -0.827693, 0.508073
124,0,3,6.41665, -0.42124, -0.147088, -0.888461, 0.0201533, 0.45851, -0.392772, -0.550195, -0.736896, 0.237419, -0.834793, 0.496742
125,0,3,6.41506, -0.41923, -0.146857, -0.888731, 0.0184584, 0.458058, -0.391417, -0.550698, -0.737241, 0.238643, -0.834501, 0.496647
126,0,3,6.41516, -0.417955, -0.148507, -0.888935, 0.0117379, 0.457884, -0.391699, -0.537654, -0.746659, 0.237419, -0.843084, 0.482537
127,0,3,6.41536, -0.42041, -0.14872, -0.888422, 0.00735059, 0.45897, -0.392165, -0.53181, -0.75059, 0.238568, -0.846832, 0.475354
128,0,3,6.41589, -0.419265, -0.148867, -0.888391, 0.0150766, 0.45884, -0.391621, -0.546447, -0.740289, 0.239571, -0.837358, 0.491363
129,0,3,6.41391, -0.416297, -0.14678, -0.889183, 0.0210923, 0.457066, -0.391131, -0.553389, -0.735376, 0.237424, -0.832656, 0.500314
